DateTime,AddedIPs,RemovedIPs
1557462122,19,19
1557462723,10,10
1557463323,60,60
1557464522,57,57
1557465722,47,47
1557466322,66,66
1557466923,55,55
1557468122,58,58
1557468723,59,59
1557469322,23,23
1557470523,19,19
1557471723,33,33
1557472922,28,28
1557474122,7,7
1557474722,9,9
1557475323,7,7
1557476523,54,54
1557477723,13,13
1557478922,55,55
1557480122,97,97
1557480722,51,51
1557481322,36,36
1557482522,53,53
1557483723,25,25
1557484322,4,4
1557484922,16,16
1557486122,12,12
1557486722,7,7
1557487323,7,7
1557488522,24,24
1557489723,10,10
1557490323,28,28
1557490922,14,14
1557492123,34,34
1557492723,30,30
1557493322,34,34
1557494522,94,94
1557495122,17,17
1557495722,61,61
1557496323,60,60
1557496923,27,27
1557498122,51,51
1557499325,66,66
1557499923,18,18
1557500524,55,55
1557501722,100,100
1557502922,54,54
1557503523,9,9
1557505323,66,66
1557506523,37,37
1557507723,11,11
1557508922,4,4
1557510123,6,6
1557511323,23,23
1557512522,71,71
1557513723,21,21
1557514922,32,32
1557516122,72,72
1557516723,23,23
1557517322,5,5
1557518523,11,11
1557519123,72,72
1557519723,72,72
1557520922,14,14
1557521522,6,6
1557522123,1,1
1557523323,75,75
1557524522,58,58
1557525723,34,34
1557528722,80,80
1557529323,5,5
1557530522,17,17
1557531722,9,9
1557532923,89,89
1557534123,47,47
1557535323,90,90
1557536523,90,90
1557537722,61,61
1557538923,11,11
1557540123,5,5
1557540723,6,6
1557541922,94,94
1557542523,55,55
1557543123,9,9
1557543723,72,72
1557544323,43,43
1557544922,39,39
1557546122,44,44
1557547322,13,13
1557547923,6,6
1557548523,8,8
1557549722,11,11
1557550323,3,3
1557550922,3,3
1557551523,4,4
1557552123,68,68
1557553322,48,48
1557554523,66,66
1557555123,20,20
1557555723,19,19
1557556922,22,22
1557557522,5,5
1557559323,4,4
1557560522,50,50
1557561723,99,99
1557562322,34,34
1557562923,34,34
1557564122,70,70
1557565323,68,68
1557566522,45,45
1557567123,11,11
1557568924,81,81
1557569522,90,90
1557570122,43,43
1557571322,68,68
1557572522,29,29
1557573722,6,6
1557574922,25,25
1557576123,29,29
1557576722,7,7
1557577322,7,7
1557578522,67,67
1557579722,39,39
1557580922,38,38
1557581522,25,25
1557582122,27,27
1557582722,19,19
1557583323,7,7
1557584523,9,9
1557585722,50,50
1557586922,72,72
1557588122,99,99
1557588722,71,71
1557589322,58,58
1557590523,52,52
1557591722,78,78
1557592322,18,18
1557592922,42,42
1557594122,56,56
1557595322,90,90
1557596523,85,85
1557597123,36,36
1557597722,22,22
1557598324,23,23
1557598922,10,10
1557599522,1,1
1557600122,72,72
1557601322,90,90
1557601922,74,74
1557602523,51,51
1557603723,95,95
1557604922,76,76
1557605523,18,18
1557606122,14,14
1557607322,17,17
1557608523,17,17
1557609124,38,38
1557609722,13,13
1557610922,93,93
1557612123,98,98
1557613322,98,98
1557614522,57,57
1557615122,16,16
1557615722,3,3
1557616922,15,15
1557618122,12,12
1557619325,8,8
1557619924,36,36
1557620523,50,50
1557621722,42,42
1557622923,24,24
1557623522,12,12
1557624122,6,6
1557625322,8,8
1557626522,18,18
1557627722,3,3
1557628324,35,35
1557628923,55,55
1557629522,56,56
1557630122,28,28
1557630723,35,35
1557631322,11,11
1557632522,89,89
1557633723,44,44
1557634923,18,18
1557636122,11,11
1557637322,87,87
1557638523,61,61
1557639722,81,81
1557640922,38,38
1557642124,78,78
1557643323,43,43
1557644523,42,42
1557645723,71,71
1557646922,22,22
1557648123,21,21
1557648723,5,5
1557649322,62,62
1557650523,84,84
1557651122,54,54
1557651723,57,57
1557652923,82,82
1557654122,62,62
1557655322,55,55
1557656523,27,27
1557657723,25,25
1557658322,20,20
1557658922,3,3
1557660123,14,14
1557661322,43,43
1557662522,33,33
1557663723,15,15
1557664322,9,9
1557664923,19,19
1557666123,61,61
1557667322,50,50
1557667922,9,9
1557668522,42,42
1557669723,72,72
1557670922,79,79
1557672122,23,23
1557672722,9,9
1557673323,57,57
1557674522,98,98
1557675722,52,52
1557676322,25,25
1557676924,20,20
1557678122,68,68
1557679322,35,35
1557680523,30,30
1557681123,26,26
1557681723,69,69
1557682323,36,36
1557682923,21,21
1557684123,46,46
1557684723,27,27
1557685323,9,9
1557686522,89,89
1557687122,27,27
1557687722,42,42
1557688323,52,52
1557688922,42,42
1557690123,90,90
1557690722,29,29
1557691322,42,42
1557691922,31,31
1557692523,13,13
1557693722,26,26
1557694322,9,9
1557694922,42,42
1557695523,10,10
1557696122,31,31
1557697323,73,73
1557698524,87,87
1557699723,33,33
1557700922,11,11
1557701522,1,1
1557703322,30,30
1557704522,12,12
1557705724,34,34
1557706922,80,80
1557707522,46,46
1557708122,23,23
1557708722,15,15
1557709324,6,6
1557709922,5,5
1557710522,1,1
1557711722,4,4
1557712922,12,12
1557714124,55,55
1557715322,94,94
1557716523,94,94
1557717123,68,68
1557717722,36,36
1557718923,39,39
1557719522,18,18
1557720122,5,5
1557721322,10,10
1557722523,49,49
1557723123,33,33
1557723723,41,41
1557724923,100,100
1557725522,46,46
1557726123,23,23
1557726722,14,14
1557727322,34,34
1557727923,12,12
1557728522,36,36
1557729123,22,22
1557729722,20,20
1557730924,88,88
1557731522,22,22
1557732122,27,27
1557732723,32,32
1557733322,19,19
1557734523,15,15
1557735723,89,89
1557736322,9,9
1557736923,50,50
1557738122,65,65
1557739323,81,81
1557739923,80,80
1557740522,63,63
1557741723,69,69
1557742922,11,11
1557744122,14,14
1557744722,6,6
1557745322,4,4
1557745923,12,12
1557746522,12,12
1557747722,18,18
1557748323,11,11
1557748922,14,14
1557750122,16,16
1557751322,13,13
1557752522,47,47
1557753722,55,55
1557754322,40,40
1557754922,41,41
1557756123,75,75
1557756722,18,18
1557757322,22,22
1557758522,30,30
1557759123,21,21
1557759723,60,60
1557760322,49,49
1557760923,28,28
1557762122,23,23
1557762722,98,98
1557763322,24,24
1557764522,87,87
1557765122,33,33
1557765722,37,37
1557766923,41,41
1557767522,8,8
1557768123,45,45
1557769323,91,91
1557769922,37,37
1557770523,18,18
1557771122,34,34
1557771722,20,20
1557772323,13,13
1557772922,81,81
1557774123,90,90
1557774723,56,56
1557775322,42,42
1557775922,15,15
1557776523,6,6
1557777722,20,20
1557778323,5,5
1557778922,4,4
1557779522,1,1
1557780122,2,2
1557781323,4,4
1557782523,40,40
1557783724,81,81
1557784322,86,86
1557784922,48,48
1557785522,31,31
1557786122,19,19
1557786722,15,15
1557787323,23,23
1557788523,45,45
1557789722,35,35
1557790922,17,17
1557792124,66,66
1557793322,83,83
1557794523,42,42
1557795722,37,37
1557796923,35,35
1557798122,20,20
1557799322,32,32
1557799922,12,12
1557800524,45,45
1557801723,89,89
1557802324,78,78
1557802922,35,35
1557803522,37,37
1557804122,3,3
1557805322,50,50
1557805922,26,26
1557806524,24,24
1557807122,11,11
1557807722,14,14
1557808923,80,80
1557810122,99,99
1557811322,31,31
